"Helység.megnevezése";"IRSZ";"Településrész";"Helység.KSH kódja";"Helység.jogállása";"Megye megnevezése";"Járáskódja";"Járásneve";"Járásszékhelye";"Polgármesteri hivatal, közös önkormányzati hivatal.kódja";"Polgármesteri hivatal, közös önkormányzati hivatal.székhelye";"Terület  (hektár)";"Lakó-népesség";"Lakások száma";"Becsült terület-adatokkal";"Nemzetiségi önkormányzat.bolgár";"Nemzetiségi önkormányzat.görög";"Nemzetiségi önkormányzat.horvát";"Nemzetiségi önkormányzat.lengyel";"Nemzetiségi önkormányzat.német";"Nemzetiségi önkormányzat.örmény";"Nemzetiségi önkormányzat.roma";"Nemzetiségi önkormányzat.román";"Nemzetiségi önkormányzat.ruszin";"Nemzetiségi önkormányzat.szerb";"Nemzetiségi önkormányzat.szlovák";"Nemzetiségi önkormányzat.szlovén";"Nemzetiségi önkormányzat.ukrán"
"Aba";8127;NA;"17376";"város";"Fejér";"085 0";"Székesfehérvári";"Székesfehérvár";"1";"–";8805;4428;1549;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abádszalók";5241;NA;"12441";"város";"Jász-Nagykun-Szolnok";"164 0";"Kunhegyesi";"Kunhegyes";"2";"Helyben – Locally";13223;4042;2038;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Abaliget";7678;NA;"12548";"község";"Baranya";"028 0";"Pécsi";"Pécs";"5";"Orfû";1609;647;241;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Abasár";3261;NA;"24554";"község";"Heves";"106 0";"Gyöngyösi";"Gyöngyös";"1";"–";2082;2613;1190;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abaújalpár";3882;NA;"15662";"község";"Borsod-Abaúj-Zemplén";"057 0";"Gönci";"Gönc";"6";"Boldogkõváralja";848;49;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abaújkér";3882;NA;"26718";"község";"Borsod-Abaúj-Zemplén";"057 0";"Gönci";"Gönc";"6";"Boldogkõváralja";1727;575;291;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Abaújlak";3815;NA;"02820";"község";"Borsod-Abaúj-Zemplén";"067 0";"Szikszói";"Szikszó";"6";"Selyeb";706;69;81;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abaújszántó";3881;NA;"03595";"város";"Borsod-Abaúj-Zemplén";"057 0";"Gönci";"Gönc";"2";"Helyben – Locally";4739;2906;1201;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Abaújszolnok";3809;NA;"26338";"község";"Borsod-Abaúj-Zemplén";"067 0";"Szikszói";"Szikszó";"6";"Selyeb";867;176;59;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Abaújvár";3898;NA;"02273";"község";"Borsod-Abaúj-Zemplén";"057 0";"Gönci";"Gönc";"5";"Gönc";735;217;140;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abda";9151;NA;"11882";"község";"Gyõr-Moson-Sopron";"087 0";"Gyõri";"Gyõr";"2";"Helyben – Locally";1902;3200;1190;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abod";3753;NA;"10357";"község";"Borsod-Abaúj-Zemplén";"055 0";"Edelényi";"Edelény";"5";"Edelény";3116;174;137;NA;NA;NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA
"Abony";2740;NA;"27872";"város";"Pest";"124 0";"Ceglédi";"Cegléd";"1";"–";12797;14277;6011;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Ábrahámhegy";8256;NA;"04561";"község";"Veszprém";"189 0";"Tapolcai";"Tapolca";"6";"Badacsonytomaj";1488;425;319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ács";2941;NA;"04428";"város";"Komárom-Esztergom";"112 0";"Komáromi";"Komárom";"1";"–";10383;6848;2735;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Acsa";2683;NA;"18573";"község";"Pest";"138 0";"Váci";"Vác";"2";"Helyben – Locally";2694;1384;480;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;"1";NA;NA
"Acsád";9746;NA;"07214";"község";"Vas";"181 0";"Szombathelyi";"Szombathely";"6";"Nemesbõd";1434;679;184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acsalag";9168;NA;"33385";"község";"Gyõr-Moson-Sopron";"086 0";"Csornai";"Csorna";"6";"Farád";1042;474;219;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ácsteszér";2887;NA;"18139";"község";"Komárom-Esztergom";"111 0";"Kisbéri";"Kisbér";"6";"Bakonyszombathely";1771;710;277;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Adács";3292;NA;"23241";"község";"Heves";"106 0";"Gyöngyösi";"Gyöngyös";"1";"–";3794;2603;1224;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Ádánd";8653;NA;"06080";"község";"Somogy";"146 0";"Siófoki";"Siófok";"2";"Helyben – Locally";2952;2082;852;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Adásztevel";8561;NA;"07302";"község";"Veszprém";"187 0";"Pápai";"Pápa";"2";"Helyben – Locally";837;759;312;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Adony";2457;NA;"08925";"város";"Fejér";"078 0";"Dunaújvárosi";"Dunaújváros";"2";"Helyben – Locally";6105;3880;1563;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Adorjánháza";8497;NA;"31307";"község";"Veszprém";"186 0";"Devecseri";"Devecser";"6";"Csögle";1142;342;195;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Adorjás";7841;NA;"06868";"község";"Baranya";"030 0";"Sellyei";"Sellye";"6";"Baksa";810;188;62;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Ág";7381;NA;"25812";"község";"Baranya";"025 0";"Hegyháti";"Sásd";"6";"Vásárosdombó";1203;178;65;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Ágasegyháza";6076;NA;"17686";"község";"Bács-Kiskun";"038 0";"Kecskeméti";"Kecskemét";"1";"–";5587;1889;862;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ágfalva";9423;NA;"04880";"község";"Gyõr-Moson-Sopron";"091 0";"Soproni";"Sopron";"2";"Helyben – Locally";1308;2389;769;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Aggtelek";3759;NA;"09362";"község";"Borsod-Abaúj-Zemplén";"063 0";"Putnoki";"Putnok";"2";"Helyben – Locally";4382;506;241;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Agyagosszergény";9441;NA;"29407";"község";"Gyõr-Moson-Sopron";"088 0";"Kapuvári";"Kapuvár";"6";"Vitnyéd";1989;945;382;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ajak";4524;NA;"08776";"város";"Szabolcs-Szatmár-Bereg";"153 0";"Kisvárdai";"Kisvárda";"1";"–";2476;3537;1327;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Ajka";8400;NA;"06673";"város";"Veszprém";"183 1";"Ajkai";"Ajka";"2";"Helyben – Locally";9505;27736;12591;NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Ajka";8451;"Padragkút";"06673";"város";"Veszprém";"183 1";"Ajkai";"Ajka";"2";"Helyben – Locally";9505;27736;12591;NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Ajka";8447;"Ajkarendek";"06673";"város";"Veszprém";"183 1";"Ajkai";"Ajka";"2";"Helyben – Locally";9505;27736;12591;NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Ajka";8448;"Bakonygyepes";"06673";"város";"Veszprém";"183 1";"Ajkai";"Ajka";"2";"Helyben – Locally";9505;27736;12591;NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Aka";2862;NA;"06682";"község";"Komárom-Esztergom";"111 0";"Kisbéri";"Kisbér";"6";"Császár";1810;262;110;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Akasztó";6221;NA;"21944";"község";"Bács-Kiskun";"039 0";"Kiskõrösi";"Kiskõrös";"1";"–";6488;3221;1559;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alacska";3779;NA;"33093";"község";"Borsod-Abaúj-Zemplén";"058 0";"Kazincbarcikai";"Kazincbarcika";"6";"Berente";856;702;282;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alap";7011;NA;"26824";"község";"Fejér";"084 0";"Sárbogárdi";"Sárbogárd";"2";"Helyben – Locally";4829;1833;877;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alattyán";5142;NA;"25265";"község";"Jász-Nagykun-Szolnok";"161 0";"Jászapáti";"Jászapáti";"1";"–";3429;1959;912;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
